Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche 
318,2.052996299,1.149694775,0.430936487,0.472365037,56,21,23,50
319,2.057568642,1.152312265,0.432302644,0.472953733,56,21,23,50
320,2.09999727,1.177265268,0.444750163,0.47798184,56.1,21.2,22.8,50
321,2.106823547,1.181096491,0.446633766,0.479093289,56.1,21.2,22.7,50
322,2.199419205,1.237939479,0.469239573,0.492240153,56.3,21.3,22.4,50
323,2.247997693,1.267544382,0.482180461,0.498272849,56.4,21.4,22.2,50
324,2.323240603,1.326015236,0.491029708,0.506195659,57.1,21.1,21.8,50
325,2.329820768,1.329818997,0.492620443,0.507381329,57.1,21.1,21.8,50
326,2.33431964,1.332530536,0.493821061,0.507968043,57.1,21.2,21.8,50
327,2.372813313,1.358773439,0.499184984,0.514854891,57.3,21,21.7,50
328,2.363709816,1.354782269,0.502537473,0.506390074,57.3,21.3,21.4,50
329,2.412694729,1.390533178,0.508663513,0.513498038,57.6,21.1,21.3,50
330,2.418372667,1.394023776,0.510107723,0.514241168,57.6,21.1,21.3,50
331,2.480893368,1.438561703,0.521297421,0.521034243,58,21,21,50
332,2.486671368,1.44217106,0.522731299,0.521769009,58,21,21,50
333,2.541959527,1.483753513,0.529123133,0.529082881,58.4,20.8,20.8,50
334,2.545442917,1.485956134,0.529956651,0.529530133,58.4,20.8,20.8,50
335,2.553573574,1.491331315,0.531907395,0.530334864,58.4,20.8,20.8,50
336,2.604737595,1.527950788,0.537362695,0.539424111,58.7,20.6,20.7,50
337,2.616211476,1.535825284,0.540059095,0.540327098,58.7,20.6,20.7,50
338,2.677733029,1.580933863,0.548779423,0.548019743,59,20.5,20.5,50
339,2.698251987,1.594205481,0.55453122,0.549515286,59.1,20.6,20.4,50
340,2.77656691,1.644999489,0.5672169,0.564350521,59.2,20.4,20.3,50
341,2.800168308,1.662781379,0.571853177,0.565533752,59.4,20.4,20.2,50
342,2.883138482,1.72394189,0.583074445,0.576122146,59.8,20.2,20,50
343,2.897356911,1.737284331,0.588527767,0.571544812,60,20.3,19.7,50
344,2.924587869,1.759170609,0.596461854,0.568955406,60.2,20.4,19.5,50
345,3.046206336,1.853652148,0.607506131,0.585048058,60.9,19.9,19.2,50
346,3.080650292,1.882677313,0.614907062,0.583065917,61.1,20,18.9,50
347,3.168423256,1.952463258,0.625091353,0.590868646,61.6,19.7,18.6,50
348,3.205806154,1.983315953,0.629572032,0.59291817,61.9,19.6,18.5,50
349,3.267413291,2.037783782,0.631946115,0.597683395,62.4,19.3,18.3,50
